LISTINO METEL       ARN052783904882/20132013030120130701LISTINO PREZZI ARNOCANALI                                            020                                                 
ARN3420M50         8018138139211Controdado esagon.M50 GRIGIO               00030000300003099999940000000010400000000104000001EURPCE0320130301                  81                
ARN3420M5003       8018138166552Controdado esagon.M50 GRIGIO               00030000300003099999940000000010400000000104000001EURPCE0320130301                  81                
ARN3420M63         8018138139228Controdado esagon.M63 GRIGIO               00020000200002099999940000000013700000000137000001EURPCE0320130301                  81                
ARN3420M6303       8018138166613Controdado esagon.M63 GRIGIO               00020000200002099999940000000013700000000137000001EURPCE0320130301                  81                
ARN3420P07         8018138139051Controdado esagonale Pg7 GRIGIO            00400004000040099999940000000001100000000011000001EURPCE0320130301                  81                
ARN3420P09         8018138139068Controdado esagonale Pg9 GRIGIO            00300003000030099999940000000001200000000012000001EURPCE0320130301                  81                
ARN3420P09K        8018138153750Controdado esagonale Pg9 GRIGIO            00300003000030099999940000000001200000000012000001EURPCE0320130301                  81                
ARN3420P11         8018138139075Controdado esagonale Pg11 GRIGIO           00300003000030099999940000000001400000000014000001EURPCE0320130301                  81                
ARN3420P11K        8018138153767Controdado esagonale Pg11 GRIGIO           00300003000030099999940000000001400000000014000001EURPCE0320130301                  81                
ARN3420P13         8018138139082Controdado esagonale Pg13,5 GRIGIO         00250002500025099999940000000001500000000015000001EURPCE0320130301                  81                
ARN3420P13K        8018138153774Controdado esagonale Pg13,5 GRIGIO         00250002500025099999940000000001500000000015000001EURPCE0320130301                  81                
ARN3420P16         8018138139099Controdado esagonale Pg16 GRIGIO           00200002000020099999940000000001600000000016000001EURPCE0320130301                  81                
ARN3420P16K        8018138153781Controdado esagonale Pg16 GRIGIO           00200002000020099999940000000001600000000016000001EURPCE0320130301                  81                
ARN3420P21         8018138139105Controdado esagonale Pg21 GRIGIO           00100001000010099999940000000002500000000025000001EURPCE0320130301                  81                
ARN3420P21K        8018138153798Controdado esagonale Pg21 GRIGIO           00100001000010099999940000000002500000000025000001EURPCE0320130301                  81                
ARN3420P29         8018138139112Controdado esagonale Pg29 GRIGIO           00060000600006099999940000000004300000000043000001EURPCE0320130301                  81                
ARN3420P36         8018138139129Controdado esagonale Pg36 GRIGIO           00030000300003099999940000000006600000000066000001EURPCE0320130301                  81                
ARN3420P42         8018138139136Controdado esagonale Pg42 GRIGIO           00030000300003099999940000000010400000000104000001EURPCE0320130301                  81                
ARN3420P48         8018138139143Controdado esagonale Pg48 GRIGIO           00020000200002099999940000000013300000000133000001EURPCE0320130301                  81                
ARN3440.2TF        8018138151541Scaricatore comb. cl.B+C+D 1+1p+TLS        000010000100001999999B0000005400000000054000000001EURPCE0620130301                  78                
ARN3440.4TF        8018138151527Scaricatore comb. cl.B+C+D 3+1p+TLS        000010000100001999999B0000012000000000120000000001EURPCE0620130301                  78                
ARN350M1201        8018138167238Pressacavo IP68 M12 GRIGIO                 00150001500015099999940000000003700000000037000001EURPCE0320130301                  81                
ARN350M1203        8018138150834Pressacavo IP68 M12 NERO                   00150001500015099999940000000005000000000050000001EURPCE0320130301                  81                
ARN350M1601        8018138167245Pressacavo IP68 M16 GRIGIO                 00100001000010099999940000000004100000000041000001EURPCE0320130301                  81                
ARN350M1603        8018138150858Pressacavo IP68 M16 NERO                   00100001000010099999940000000005400000000054000001EURPCE0320130301                  81                
ARN350M2001        8018138167252Pressacavo IP68 M20 GRIGIO                 00050000500005099999940000000004500000000045000001EURPCE0320130301                  81                
ARN350M2003        8018138150872Pressacavo IP68 M20 NERO                   00050000500005099999940000000006700000000067000001EURPCE0320130301                  81                
ARN350M2501        8018138167269Pressacavo IP68 M25 GRIGIO                 00040000400004099999940000000007800000000078000001EURPCE0320130301                  81                
ARN350M2503        8018138179453Pressacavo IP68 M25 NERO                   00040000400004099999940000000011300000000113000001EURPCE0320130301                  81                
ARN350M3201        8018138167276Pressacavo IP68 M32 GRIGIO                 00020000200002099999940000000014900000000149000001EURPCE0320130301                  81                
ARN350M3203        8018138150919Pressacavo IP68 M32 NERO                   00020000200002099999940000000021100000000211000001EURPCE0320130301                  81                
ARN350M4001        8018138167283Pressacavo IP68 M40 GRIGIO                 00010000100001099999940000000027900000000279000001EURPCE0320130301                  81                
ARN350M4003        8018138150933Pressacavo IP68 M40 NERO                   00010000100001099999940000000038700000000387000001EURPCE0320130301                  81                
ARN350M5001        8018138167290Pressacavo IP68 M50 GRIGIO                 00006000060000699999940000000047800000000478000001EURPCE0320130301                  81                
ARN350M5003        8018138150957Pressacavo IP68 M50 NERO                   00006000060000699999940000000076100000000761000001EURPCE0320130301                  81                
ARN350M6301        8018138167306Pressacavo IP68 M63 GRIGIO                 00005000050000599999940000000055700000000557000001EURPCE0320130301                  81                
ARN350M6303        8018138150971Pressacavo IP68 M63 NERO                   00005000050000599999940000000086000000000860000001EURPCE0320130301                  81                
ARN350P0701        8018138167139Pressacavo IP68 Pg 7 GRIGIO                00150001500015099999940000000003900000000039000001EURPCE0320130301                  81                
